"Name","Time (ms)","Avg. Time (ms)","Own Time (ms)","Invocation Count"
"org.bitstorm.gameoflife.GameOfLife.run()","9987","9987","9982","1"
"org.bitstorm.gameoflife.GameOfLife.nextGeneration()","4","0","0","10"
"org.bitstorm.gameoflife.GameOfLifeControls.startStopButtonClicked()","3","1","0","2"
"org.bitstorm.gameoflife.GameOfLifeControls$4.actionPerformed(ActionEvent)","3","1","0","2"
"org.bitstorm.gameoflife.GameOfLife.showGenerations()","3","0","0","10"
"org.bitstorm.gameoflife.GameOfLifeControls.setGeneration(int)","3","0","0","10"
"org.bitstorm.gameoflife.GameOfLife.startStopButtonClicked(GameOfLifeControlsEvent)","3","1","0","2"
"org.bitstorm.gameoflife.GameOfLife.start2()","2","2","0","1"
"org.bitstorm.gameoflife.CellGridCanvas.update(Graphics)","2","0","0","10"
"org.bitstorm.gameoflife.CellGridCanvas.paint(Graphics)","1","0","0","10"
"org.bitstorm.gameoflife.GameOfLifeControls.start()","1","1","0","1"
"org.bitstorm.gameoflife.GameOfLife.stop()","0","0","0","1"
"org.bitstorm.gameoflife.GameOfLifeControls.stop()","0","0","0","1"
"org.bitstorm.gameoflife.GameOfLifeGrid.next()","0","0","0","10"
"org.bitstorm.gameoflife.GameOfLifeControlsEvent.<init>(Object)","0","0","0","2"
"org.bitstorm.gameoflife.GameOfLifeGrid.addNeighbour(int, int)","0","0","0","400"
"org.bitstorm.gameoflife.AppletFrame.processEvent(AWTEvent)","0","0","0","1"
"org.bitstorm.gameoflife.Cell.equals(Object)","0","0","0","215"
"org.bitstorm.gameoflife.Cell.hashCode()","0","0","0","677"
"org.bitstorm.gameoflife.GameOfLife.isRunning()","0","0","0","2"
"org.bitstorm.gameoflife.GameOfLifeGrid.getEnum()","0","0","0","10"
"org.bitstorm.gameoflife.GameOfLifeGrid.setCell(int, int, boolean)","0","0","0","35"
